#
# Unicode mapping for JIS C 6226:1978 (retronymously JIS X 0208:1978) with NEC PC98 extensions.
# Amended 2019-02 with additional deviations from modern mappings to fully use the closest matches
#   in the 1990-JIS (including JIS X 0212) repertoire (although U+663B/U+6602 were still their
#   Microsoft way around, as an oversight on my part).
# Further amended 2021-08-05 to swap U+663B/U+6602 and use some closer 2004-JIS and other characters:
#   20-34: now U+3D4E, was U+6F97
#   25-23: now U+663B, was U+6602 (compare 90-22)
#   26-84: now U+6805 (GB 2312), was U+67F5
#   32-70: now U+87EC (2000-JIS level 3), was U+8749
#   34-45: now U+9A52 (2000-JIS level 3), was U+9A28
#   35-29: now U+7C1E (2000-JIS level 3), was U+7BAA
#   39-77: now U+525D (2004-JIS level 3), was U+5265
#   53-67: now U+21A1A, was U+5BC3
#   54-02: now U+5C5B (2004-JIS level 3), was U+5C4F
#   90-22: now U+6602, was U+663B (compare 25-23)
# Further amended 2021-08-12 referencing NEC-specific CIDs, double-checked against bitmap font:
#   17-28: kept as U+958F; changing to U+28CDD per CID map is not justified by bitmap font
#   23-46: now U+25874, was U+7A3D
#   23-53: now U+8346, was U+834A
#   23-68: now U+28EF6, was U+9699
#   59-42: now U+67FA, was U+67B4
#   59-84: now U+688E, was U+688D
#   63-83: kept as U+71D7; changing to U+243D0 per CID map is not justified by bitmap font
#   73-28: kept as U+85DC; changing to U+853E per CID map is not justified by bitmap font
#   80-19: kept as U+96CE; changing to U+7762 per CID map is not justified by bitmap font
#
# NEC's double byte character set makes substantial use of halfwidth-fullwidth distinctions which
# cannot be represented in Unicode. Following a convention established by Apple, W (naturally wide)
# or A (ambiguous width) codepoints followed by the private use codepoint f87f indicate halfwidth.
#
0x2165	U+2266	# 1-69, LESS-THAN OVER EQUAL TO
0x2166	U+2267	# 1-70, GREATER-THAN OVER EQUAL TO
0x2167	U+221e	# 1-71, INFINITY
0x2168	U+2234	# 1-72, THEREFORE
0x2169	U+2642	# 1-73, MALE SIGN
0x216a	U+2640	# 1-74, FEMALE SIGN
0x216b	U+00b0	# 1-75, DEGREE SIGN
0x216c	U+2032	# 1-76, PRIME
0x216d	U+2033	# 1-77, DOUBLE PRIME
0x216e	U+2103	# 1-78, DEGREE CELSIUS
0x216f	U+ffe5	# 1-79, FULLWIDTH YEN SIGN
0x2170	U+ff04	# 1-80, FULLWIDTH DOLLAR SIGN
0x2171	U+00a2	# 1-81, CENT SIGN
0x2172	U+00a3	# 1-82, POUND SIGN
0x2173	U+ff05	# 1-83, FULLWIDTH PERCENT SIGN
0x2174	U+ff03	# 1-84, FULLWIDTH NUMBER SIGN
0x2175	U+ff06	# 1-85, FULLWIDTH AMPERSAND
0x2176	U+ff0a	# 1-86, FULLWIDTH ASTERISK
0x2177	U+ff20	# 1-87, FULLWIDTH COMMERCIAL AT
0x2178	U+00a7	# 1-88, SECTION SIGN
0x2179	U+2606	# 1-89, WHITE STAR
0x217a	U+2605	# 1-90, BLACK STAR
0x217b	U+25cb	# 1-91, WHITE CIRCLE
0x217c	U+25cf	# 1-92, BLACK CIRCLE
0x217d	U+25ce	# 1-93, BULLSEYE
0x217e	U+25c7	# 1-94, WHITE DIAMOND
0x2221	U+25c6	# 2-1, BLACK DIAMOND
0x2222	U+25a1	# 2-2, WHITE SQUARE
0x2223	U+25a0	# 2-3, BLACK SQUARE
0x2224	U+25b3	# 2-4, WHITE UP-POINTING TRIANGLE
0x2225	U+25b2	# 2-5, BLACK UP-POINTING TRIANGLE
0x2226	U+25bd	# 2-6, WHITE DOWN-POINTING TRIANGLE
0x2227	U+25bc	# 2-7, BLACK DOWN-POINTING TRIANGLE
0x2228	U+203b	# 2-8, REFERENCE MARK
0x2229	U+3012	# 2-9, POSTAL MARK
0x222a	U+2192	# 2-10, RIGHTWARDS ARROW
0x222b	U+2190	# 2-11, LEFTWARDS ARROW
0x222c	U+2191	# 2-12, UPWARDS ARROW
0x222d	U+2193	# 2-13, DOWNWARDS ARROW
0x222e	U+3013	# 2-14, GETA MARK
0x2330	U+ff10	# 3-16, FULLWIDTH DIGIT ZERO
0x2331	U+ff11	# 3-17, FULLWIDTH DIGIT ONE
0x2332	U+ff12	# 3-18, FULLWIDTH DIGIT TWO
0x2333	U+ff13	# 3-19, FULLWIDTH DIGIT THREE
0x2334	U+ff14	# 3-20, FULLWIDTH DIGIT FOUR
0x2335	U+ff15	# 3-21, FULLWIDTH DIGIT FIVE
0x2336	U+ff16	# 3-22, FULLWIDTH DIGIT SIX
0x2337	U+ff17	# 3-23, FULLWIDTH DIGIT SEVEN
0x2338	U+ff18	# 3-24, FULLWIDTH DIGIT EIGHT
0x2339	U+ff19	# 3-25, FULLWIDTH DIGIT NINE
0x2341	U+ff21	# 3-33, FULLWIDTH LATIN CAPITAL LETTER A
0x2342	U+ff22	# 3-34, FULLWIDTH LATIN CAPITAL LETTER B
0x2343	U+ff23	# 3-35, FULLWIDTH LATIN CAPITAL LETTER C
0x2344	U+ff24	# 3-36, FULLWIDTH LATIN CAPITAL LETTER D
0x2345	U+ff25	# 3-37, FULLWIDTH LATIN CAPITAL LETTER E
0x2346	U+ff26	# 3-38, FULLWIDTH LATIN CAPITAL LETTER F
0x2347	U+ff27	# 3-39, FULLWIDTH LATIN CAPITAL LETTER G
0x2348	U+ff28	# 3-40, FULLWIDTH LATIN CAPITAL LETTER H
0x2349	U+ff29	# 3-41, FULLWIDTH LATIN CAPITAL LETTER I
0x234a	U+ff2a	# 3-42, FULLWIDTH LATIN CAPITAL LETTER J
0x234b	U+ff2b	# 3-43, FULLWIDTH LATIN CAPITAL LETTER K
0x234c	U+ff2c	# 3-44, FULLWIDTH LATIN CAPITAL LETTER L
0x234d	U+ff2d	# 3-45, FULLWIDTH LATIN CAPITAL LETTER M
0x234e	U+ff2e	# 3-46, FULLWIDTH LATIN CAPITAL LETTER N
0x234f	U+ff2f	# 3-47, FULLWIDTH LATIN CAPITAL LETTER O
0x2350	U+ff30	# 3-48, FULLWIDTH LATIN CAPITAL LETTER P
0x2351	U+ff31	# 3-49, FULLWIDTH LATIN CAPITAL LETTER Q
0x2352	U+ff32	# 3-50, FULLWIDTH LATIN CAPITAL LETTER R
0x2353	U+ff33	# 3-51, FULLWIDTH LATIN CAPITAL LETTER S
0x2354	U+ff34	# 3-52, FULLWIDTH LATIN CAPITAL LETTER T
0x2355	U+ff35	# 3-53, FULLWIDTH LATIN CAPITAL LETTER U
0x2356	U+ff36	# 3-54, FULLWIDTH LATIN CAPITAL LETTER V
0x2357	U+ff37	# 3-55, FULLWIDTH LATIN CAPITAL LETTER W
0x2358	U+ff38	# 3-56, FULLWIDTH LATIN CAPITAL LETTER X
0x2359	U+ff39	# 3-57, FULLWIDTH LATIN CAPITAL LETTER Y
0x235a	U+ff3a	# 3-58, FULLWIDTH LATIN CAPITAL LETTER Z
0x2361	U+ff41	# 3-65, FULLWIDTH LATIN SMALL LETTER A
0x2362	U+ff42	# 3-66, FULLWIDTH LATIN SMALL LETTER B
0x2363	U+ff43	# 3-67, FULLWIDTH LATIN SMALL LETTER C
0x2364	U+ff44	# 3-68, FULLWIDTH LATIN SMALL LETTER D
0x2365	U+ff45	# 3-69, FULLWIDTH LATIN SMALL LETTER E
0x2366	U+ff46	# 3-70, FULLWIDTH LATIN SMALL LETTER F
